Unit,School / Division,Category,Calendar name,Calendar URL,Platform / CMS,How content is rendered,Feed / API endpoint,Best way to fetch it programmatically,Confidence,Notes
Penn Athletics - Women's Cross Country,Athletics,Athletics (team schedule),Women's Cross Country Schedule,https://pennathletics.com/sports/womens-cross-country/schedule,SIDEARM Sports (NextGen),Server-rendered with JS enhancement; schedule data also available as JSON,SIDEARM per-sport ICS/JSON schedule endpoints,SIDEARM Sports: per-sport schedule JSON endpoints and ICS exports; prefer those over the rendered page.,Derived from a verified index page,Composite view at pennathletics.com/calendar
Penn Athletics - Women's Fencing,Athletics,Athletics (team schedule),Women's Fencing Schedule,https://pennathletics.com/sports/womens-fencing/schedule,SIDEARM Sports (NextGen),Server-rendered with JS enhancement; schedule data also available as JSON,SIDEARM per-sport ICS/JSON schedule endpoints,SIDEARM Sports: per-sport schedule JSON endpoints and ICS exports; prefer those over the rendered page.,Derived from a verified index page,Composite view at pennathletics.com/calendar
Penn Athletics - Field Hockey,Athletics,Athletics (team schedule),Field Hockey Schedule,https://pennathletics.com/sports/field-hockey/schedule,SIDEARM Sports (NextGen),Server-rendered with JS enhancement; schedule data also available as JSON,SIDEARM per-sport ICS/JSON schedule endpoints,SIDEARM Sports: per-sport schedule JSON endpoints and ICS exports; prefer those over the rendered page.,Derived from a verified index page,Composite view at pennathletics.com/calendar
Penn Athletics - Women's Golf,Athletics,Athletics (team schedule),Women's Golf Schedule,https://pennathletics.com/sports/womens-golf/schedule,SIDEARM Sports (NextGen),Server-rendered with JS enhancement; schedule data also available as JSON,SIDEARM per-sport ICS/JSON schedule endpoints,SIDEARM Sports: per-sport schedule JSON endpoints and ICS exports; prefer those over the rendered page.,Derived from a verified index page,Composite view at pennathletics.com/calendar
Penn Athletics - Women's Gymnastics,Athletics,Athletics (team schedule),Women's Gymnastics Schedule,https://pennathletics.com/sports/womens-gymnastics/schedule,SIDEARM Sports (NextGen),Server-rendered with JS enhancement; schedule data also available as JSON,SIDEARM per-sport ICS/JSON schedule endpoints,SIDEARM Sports: per-sport schedule JSON endpoints and ICS exports; prefer those over the rendered page.,Derived from a verified index page,Composite view at pennathletics.com/calendar
Penn Athletics - Women's Lacrosse,Athletics,Athletics (team schedule),Women's Lacrosse Schedule,https://pennathletics.com/sports/womens-lacrosse/schedule,SIDEARM Sports (NextGen),Server-rendered with JS enhancement; schedule data also available as JSON,SIDEARM per-sport ICS/JSON schedule endpoints,SIDEARM Sports: per-sport schedule JSON endpoints and ICS exports; prefer those over the rendered page.,Derived from a verified index page,Composite view at pennathletics.com/calendar
Penn Athletics - Women's Rowing,Athletics,Athletics (team schedule),Women's Rowing Schedule,https://pennathletics.com/sports/womens-rowing/schedule,SIDEARM Sports (NextGen),Server-rendered with JS enhancement; schedule data also available as JSON,SIDEARM per-sport ICS/JSON schedule endpoints,SIDEARM Sports: per-sport schedule JSON endpoints and ICS exports; prefer those over the rendered page.,Derived from a verified index page,Composite view at pennathletics.com/calendar
Penn Athletics - Women's Soccer,Athletics,Athletics (team schedule),Women's Soccer Schedule,https://pennathletics.com/sports/womens-soccer/schedule,SIDEARM Sports (NextGen),Server-rendered with JS enhancement; schedule data also available as JSON,SIDEARM per-sport ICS/JSON schedule endpoints,SIDEARM Sports: per-sport schedule JSON endpoints and ICS exports; prefer those over the rendered page.,Derived from a verified index page,Composite view at pennathletics.com/calendar
Penn Athletics - Softball,Athletics,Athletics (team schedule),Softball Schedule,https://pennathletics.com/sports/softball/schedule,SIDEARM Sports (NextGen),Server-rendered with JS enhancement; schedule data also available as JSON,SIDEARM per-sport ICS/JSON schedule endpoints,SIDEARM Sports: per-sport schedule JSON endpoints and ICS exports; prefer those over the rendered page.,Derived from a verified index page,Composite view at pennathletics.com/calendar
Penn Athletics - Women's Squash,Athletics,Athletics (team schedule),Women's Squash Schedule,https://pennathletics.com/sports/womens-squash/schedule,SIDEARM Sports (NextGen),Server-rendered with JS enhancement; schedule data also available as JSON,SIDEARM per-sport ICS/JSON schedule endpoints,SIDEARM Sports: per-sport schedule JSON endpoints and ICS exports; prefer those over the rendered page.,Derived from a verified index page,Composite view at pennathletics.com/calendar
Penn Athletics - Women's Swimming & Diving,Athletics,Athletics (team schedule),Women's Swimming & Diving Schedule,https://pennathletics.com/sports/womens-swimming-and-diving/schedule,SIDEARM Sports (NextGen),Server-rendered with JS enhancement; schedule data also available as JSON,SIDEARM per-sport ICS/JSON schedule endpoints,SIDEARM Sports: per-sport schedule JSON endpoints and ICS exports; prefer those over the rendered page.,Derived from a verified index page,Composite view at pennathletics.com/calendar
Penn Athletics - Women's Tennis,Athletics,Athletics (team schedule),Women's Tennis Schedule,https://pennathletics.com/sports/womens-tennis/schedule,SIDEARM Sports (NextGen),Server-rendered with JS enhancement; schedule data also available as JSON,SIDEARM per-sport ICS/JSON schedule endpoints,SIDEARM Sports: per-sport schedule JSON endpoints and ICS exports; prefer those over the rendered page.,Derived from a verified index page,Composite view at pennathletics.com/calendar
Penn Athletics - Women's Track & Field,Athletics,Athletics (team schedule),Women's Track & Field Schedule,https://pennathletics.com/sports/womens-track-and-field/schedule,SIDEARM Sports (NextGen),Server-rendered with JS enhancement; schedule data also available as JSON,SIDEARM per-sport ICS/JSON schedule endpoints,SIDEARM Sports: per-sport schedule JSON endpoints and ICS exports; prefer those over the rendered page.,Derived from a verified index page,Composite view at pennathletics.com/calendar
Penn Athletics - Women's Volleyball,Athletics,Athletics (team schedule),Women's Volleyball Schedule,https://pennathletics.com/sports/womens-volleyball/schedule,SIDEARM Sports (NextGen),Server-rendered with JS enhancement; schedule data also available as JSON,SIDEARM per-sport ICS/JSON schedule endpoints,SIDEARM Sports: per-sport schedule JSON endpoints and ICS exports; prefer those over the rendered page.,Derived from a verified index page,Composite view at pennathletics.com/calendar
Penn Libraries - Albrecht Music Library,Libraries,Library,Albrecht Music Library events,https://www.library.upenn.edu/music,Drupal 10,Server-rendered HTML; branch events also flow into the central /events view and LibCal,Central: none exposed; workshops via Springshare LibCal API,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Derived from a verified index page,Workshop registrations run through LibCal (api3.libcal.com)
Penn Libraries - Annenberg School Library,Libraries,Library,Annenberg School Library events,https://www.library.upenn.edu/annenberg,Drupal 10,Server-rendered HTML; branch events also flow into the central /events view and LibCal,Central: none exposed; workshops via Springshare LibCal API,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Derived from a verified index page,Workshop registrations run through LibCal (api3.libcal.com)
Penn Libraries - Biddle Law Library,Libraries,Library,Biddle Law Library events,https://www.library.upenn.edu/biddle-law-library,Drupal 10,Server-rendered HTML; branch events also flow into the central /events view and LibCal,Central: none exposed; workshops via Springshare LibCal API,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Derived from a verified index page,Workshop registrations run through LibCal (api3.libcal.com)
Penn Libraries - Chemistry Library,Libraries,Library,Chemistry Library events,https://www.library.upenn.edu/chemistry,Drupal 10,Server-rendered HTML; branch events also flow into the central /events view and LibCal,Central: none exposed; workshops via Springshare LibCal API,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Derived from a verified index page,Workshop registrations run through LibCal (api3.libcal.com)
Penn Libraries - Education Commons,Libraries,Library,Education Commons events,https://www.library.upenn.edu/ec,Drupal 10,Server-rendered HTML; branch events also flow into the central /events view and LibCal,Central: none exposed; workshops via Springshare LibCal API,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Derived from a verified index page,Workshop registrations run through LibCal (api3.libcal.com)
Penn Libraries - Fisher Fine Arts Library,Libraries,Library,Fisher Fine Arts Library events,https://www.library.upenn.edu/finearts,Drupal 10,Server-rendered HTML; branch events also flow into the central /events view and LibCal,Central: none exposed; workshops via Springshare LibCal API,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Derived from a verified index page,Workshop registrations run through LibCal (api3.libcal.com)
Penn Libraries - Holman Biotech Commons,Libraries,Library,Holman Biotech Commons events,https://www.library.upenn.edu/holman,Drupal 10,Server-rendered HTML; branch events also flow into the central /events view and LibCal,Central: none exposed; workshops via Springshare LibCal API,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Derived from a verified index page,Workshop registrations run through LibCal (api3.libcal.com)
Penn Libraries - Kislak Center for Special Collections,Libraries,Library,Kislak Center for Special Collections events,https://www.library.upenn.edu/kislak,Drupal 10,Server-rendered HTML; branch events also flow into the central /events view and LibCal,Central: none exposed; workshops via Springshare LibCal API,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Derived from a verified index page,Workshop registrations run through LibCal (api3.libcal.com)
Penn Libraries - Levy Dental Medicine Library,Libraries,Library,Levy Dental Medicine Library events,https://www.library.upenn.edu/dental,Drupal 10,Server-rendered HTML; branch events also flow into the central /events view and LibCal,Central: none exposed; workshops via Springshare LibCal API,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Derived from a verified index page,Workshop registrations run through LibCal (api3.libcal.com)
Penn Libraries - Library at the Katz Center,Libraries,Library,Library at the Katz Center events,https://www.library.upenn.edu/lkcajs,Drupal 10,Server-rendered HTML; branch events also flow into the central /events view and LibCal,Central: none exposed; workshops via Springshare LibCal API,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Derived from a verified index page,Workshop registrations run through LibCal (api3.libcal.com)
Penn Libraries - Lippincott Library (Wharton),Libraries,Library,Lippincott Library (Wharton) events,https://www.library.upenn.edu/lippincott,Drupal 10,Server-rendered HTML; branch events also flow into the central /events view and LibCal,Central: none exposed; workshops via Springshare LibCal API,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Derived from a verified index page,Workshop registrations run through LibCal (api3.libcal.com)
Penn Libraries - Math/Physics/Astronomy Library,Libraries,Library,Math/Physics/Astronomy Library events,https://www.library.upenn.edu/mpa,Drupal 10,Server-rendered HTML; branch events also flow into the central /events view and LibCal,Central: none exposed; workshops via Springshare LibCal API,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Derived from a verified index page,Workshop registrations run through LibCal (api3.libcal.com)
Penn Libraries - Penn Museum Library,Libraries,Library,Penn Museum Library events,https://www.library.upenn.edu/museum,Drupal 10,Server-rendered HTML; branch events also flow into the central /events view and LibCal,Central: none exposed; workshops via Springshare LibCal API,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Derived from a verified index page,Workshop registrations run through LibCal (api3.libcal.com)
Penn Libraries - University Archives,Libraries,Library,University Archives events,https://www.library.upenn.edu/university-archives,Drupal 10,Server-rendered HTML; branch events also flow into the central /events view and LibCal,Central: none exposed; workshops via Springshare LibCal API,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Derived from a verified index page,Workshop registrations run through LibCal (api3.libcal.com)
Penn Libraries - Van Pelt-Dietrich Library Center,Libraries,Library,Van Pelt-Dietrich Library Center events,https://www.library.upenn.edu/vanpelt,Drupal 10,Server-rendered HTML; branch events also flow into the central /events view and LibCal,Central: none exposed; workshops via Springshare LibCal API,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Derived from a verified index page,Workshop registrations run through LibCal (api3.libcal.com)
Penn Libraries - Veterinary Medicine: Atwood Library,Libraries,Library,Veterinary Medicine: Atwood Library events,https://www.library.upenn.edu/vet,Drupal 10,Server-rendered HTML; branch events also flow into the central /events view and LibCal,Central: none exposed; workshops via Springshare LibCal API,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Derived from a verified index page,Workshop registrations run through LibCal (api3.libcal.com)
Penn Libraries - Veterinary Medicine: du Pont Library,Libraries,Library,Veterinary Medicine: du Pont Library events,https://www.library.upenn.edu/veterinary-medicine-du-pont,Drupal 10,Server-rendered HTML; branch events also flow into the central /events view and LibCal,Central: none exposed; workshops via Springshare LibCal API,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Derived from a verified index page,Workshop registrations run through LibCal (api3.libcal.com)
Penn Libraries - Weigle Information Commons,Libraries,Library,Weigle Information Commons events,https://www.library.upenn.edu/wic,Drupal 10,Server-rendered HTML; branch events also flow into the central /events view and LibCal,Central: none exposed; workshops via Springshare LibCal API,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Derived from a verified index page,Workshop registrations run through LibCal (api3.libcal.com)
Penn Libraries - Zilberman Family Center for Global Collections,Libraries,Library,Zilberman Family Center for Global Collections events,https://www.library.upenn.edu/zilberman,Drupal 10,Server-rendered HTML; branch events also flow into the central /events view and LibCal,Central: none exposed; workshops via Springshare LibCal API,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Derived from a verified index page,Workshop registrations run through LibCal (api3.libcal.com)
Penn Libraries - Barbara Bates Center (Nursing history),Libraries,Library,Barbara Bates Center (Nursing history) events,https://www.library.upenn.edu/nursing,Drupal 10,Server-rendered HTML; branch events also flow into the central /events view and LibCal,Central: none exposed; workshops via Springshare LibCal API,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Derived from a verified index page,Workshop registrations run through LibCal (api3.libcal.com)
Penn Libraries - Architectural Archives,Libraries,Library,Architectural Archives events,https://www.library.upenn.edu/architectural-archives,Drupal 10,Server-rendered HTML; branch events also flow into the central /events view and LibCal,Central: none exposed; workshops via Springshare LibCal API,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Derived from a verified index page,Workshop registrations run through LibCal (api3.libcal.com)
Penn Libraries - Demography Library,Libraries,Library,Demography Library events,https://www.library.upenn.edu/demography-library,Drupal 10,Server-rendered HTML; branch events also flow into the central /events view and LibCal,Central: none exposed; workshops via Springshare LibCal API,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Derived from a verified index page,Workshop registrations run through LibCal (api3.libcal.com)
Penn Libraries - Penn Museum Archives,Libraries,Library,Penn Museum Archives events,https://www.library.upenn.edu/penn-museum-archives,Drupal 10,Server-rendered HTML; branch events also flow into the central /events view and LibCal,Central: none exposed; workshops via Springshare LibCal API,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Derived from a verified index page,Workshop registrations run through LibCal (api3.libcal.com)
Penn Libraries - Pennsylvania Hospital Medical Library,Libraries,Library,Pennsylvania Hospital Medical Library events,https://www.library.upenn.edu/pennsylvania-hospital-medical,Drupal 10,Server-rendered HTML; branch events also flow into the central /events view and LibCal,Central: none exposed; workshops via Springshare LibCal API,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Derived from a verified index page,Workshop registrations run through LibCal (api3.libcal.com)
Penn Medicine (health system),Penn Medicine,Hospital / community,Events calendar,https://www.pennmedicine.org/events,Trumba,Hub page links out to Trumba calendars (pennmedicine.trumba.com); embeds are iframe/spud widgets,Trumba supports .ics and XML/JSON feeds per webName,Trumba: use the calendar's .ics or XML/JSON feed (trumba.com/calendars/<webName>.ics). The host page only embeds a spud/iframe.,Verified (page fetched),Regional calendars e.g. pennmedicine.trumba.com/doylestown
Penn Medicine - Physician & CME events,Penn Medicine,Continuing ed,Physician and CME events,https://www.pennmedicine.org/physician-resources/events,Trumba,Trumba embed,Trumba .ics / XML feeds,Trumba: use the calendar's .ics or XML/JSON feed (trumba.com/calendars/<webName>.ics). The host page only embeds a spud/iframe.,Verified (page fetched),
Penn Medicine - Community events,Penn Medicine,Community,Community Events,https://www.pennmedicine.org/about/serving-our-community/community-events,Trumba,Trumba embed,Trumba feeds,Trumba: use the calendar's .ics or XML/JSON feed (trumba.com/calendars/<webName>.ics). The host page only embeds a spud/iframe.,Verified (page fetched),
Penn Dental Medicine - News & Events,Dental,School,Events,https://www.dental.upenn.edu/news-events/events/,WordPress 7.0.4,Server-rendered HTML,none found,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Verified (page fetched),Also legacy /calendar/categories/<cat>
Penn Dental Medicine - Continuing Education,Dental,Continuing ed,Continuing Education,https://www.dental.upenn.edu/continuing-education/,WordPress,Server-rendered HTML,none,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Verified (page fetched),Registration portal at cde.dental.upenn.edu
Penn Engineering - Chemical & Biomolecular Engineering,Engineering,Department,CBE Seminars + Events,https://cbe.seas.upenn.edu/events/,WordPress,Server-rendered HTML,none,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Verified (page fetched),Also flows into school calendar tag /cbe/
Penn Engineering - Bioengineering (dept site),Engineering,Department,BE Seminar Series,https://be.seas.upenn.edu/,WordPress,Server-rendered HTML,none,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Verified (page fetched),
Penn Engineering - Materials Science & Engineering,Engineering,Department,MSE Events,https://mse.engineering.upenn.edu/events/,WordPress,Server-rendered HTML,unknown,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Pattern-inferred — confirm URL before scraping,
Penn Engineering - Nano-Bio Interface Center,Engineering,Center,Seminars,http://www.nanotech.upenn.edu/seminars.html,Static HTML,Server-rendered HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),
SAS - Cognitive Science,SAS,Program,Events (hub),https://web.sas.upenn.edu/cogsci/events/,UPenn Generator 7.0.4 (SAS web platform),Server-rendered hub linking to other departments' calendars,none,Server-rendered HTML — requests + BeautifulSoup; confirm the selector before relying on it.,Verified (page fetched),
SAS - Neuroscience / Biological Basis of Behavior,SAS,Program,Events,https://neuroscience.sas.upenn.edu/,Drupal,Server-rendered HTML,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),
Penn Dining,Business Services,Campus services,Events,https://dining.business-services.upenn.edu/events,Drupal 10,Server-rendered HTML with Load More pagination,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),
Penn Hospitality Services,Business Services,Campus services,Programs & Events,https://hospitality-services.business-services.upenn.edu/programs-a-events,Drupal,Server-rendered HTML,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),
Law - Penn Program on Regulation,Law,Program,Program page / events,https://www.law.upenn.edu/institutes/ppr/,Static PHP + LiveWhale,Server-rendered HTML; news/events via LiveWhale tags,LiveWhale ics/RSS,"LiveWhale: the HTML is injected by JS, so scraping the page fails. Use the group feed instead — append ?format=json or ?format=ics to the group URL, or build one from the calendar's Subscribe button.",Verified (page fetched),Tag view /live/tags/Penn%20Program%20on%20Regulation
Law - Center for Ethics and the Rule of Law (CERL),Law,Center,Events,https://www.law.upenn.edu/institutes/cerl/,Static PHP + LiveWhale,Server-rendered HTML,LiveWhale ics/RSS,"LiveWhale: the HTML is injected by JS, so scraping the page fails. Use the group feed instead — append ?format=json or ?format=ics to the group URL, or build one from the calendar's Subscribe button.",Verified (page fetched),
Law - News & Events (LiveWhale tag),Law,School,Events tag feed,https://www.law.upenn.edu/live/tags/Events/type/news,LiveWhale,Server-rendered LiveWhale tag view,LiveWhale ics/RSS on tag views,"LiveWhale: the HTML is injected by JS, so scraping the page fails. Use the group feed instead — append ?format=json or ?format=ics to the group URL, or build one from the calendar's Subscribe button.",Verified (page fetched),Useful programmatic entry point for Law
Penn Almanac - AT PENN listings,University,University-wide,AT PENN monthly event listings,https://almanac.upenn.edu/,Drupal,Server-rendered HTML articles,Drupal RSS likely at /rss.xml,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),Monthly consolidated campus event listings
Energy Week at Penn,University,Program,Energy Week,https://energyweek.upenn.edu/,WordPress,Server-rendered HTML,unknown,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Pattern-inferred — confirm URL before scraping,Annual event series
Energy at Penn,University,Program,Events,https://www.energy.upenn.edu/,WordPress,Server-rendered HTML,unknown,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Pattern-inferred — confirm URL before scraping,
Penn Summer,SAS,Division,Events / important dates,https://summer.sas.upenn.edu/,Drupal,Server-rendered HTML,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),
Penn Museum - Exhibitions,Museum,Museum,Exhibitions,https://www.penn.museum/exhibitions/,Joomla!,Server-rendered HTML,none,Joomla: server-rendered HTML — requests + BeautifulSoup. Category filters are query params.,Verified (page fetched),
Penn Arts & Sciences - Events (school),SAS,School,Events,https://www.sas.upenn.edu/events/,Drupal,Server-rendered HTML,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),Upcoming view at /events/upcoming-events
Office of the President,University,Office,Events / speeches,https://president.upenn.edu/,Drupal,Server-rendered HTML,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),
Penn Public Safety,University,Safety,Events / programs,https://www.publicsafety.upenn.edu/,Drupal,Server-rendered HTML,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),
Actionable Intelligence for Social Policy (AISP),SP2,Center,AISP Events,https://aisp.upenn.edu/aisp-events/,WordPress + Elementor,"Server-rendered HTML (news/archive style, not a grid)",none,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Verified (page fetched),
Penn Medical Ethics & Health Policy (Center for Bioethics),Medicine,Department,Events,https://medicalethicshealthpolicy.med.upenn.edu/events,Drupal,Server-rendered HTML,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),Penn Bioethics Seminar Series
Center for Health Incentives & Behavioral Economics (CHIBE),Medicine,Center,Events Archive,https://chibe.upenn.edu/events/,WordPress,Server-rendered HTML archive,none,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Verified (page fetched),Annual Behavioral Science & Health Symposium
Center for Public Health Initiatives (CPHI),Medicine,Center,Events,https://www.cphi.upenn.edu/events/,Static HTML (PSOM template),Server-rendered HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),Also LiveWhale group events.med.upenn.edu/cphi/
Center for Public Health Initiatives (LiveWhale),Medicine,Center,CPHI Events Calendar,https://events.med.upenn.edu/cphi/,LiveWhale Calendar,JS-rendered,LiveWhale ics/RSS,"LiveWhale: the HTML is injected by JS, so scraping the page fails. Use the group feed instead — append ?format=json or ?format=ics to the group URL, or build one from the calendar's Subscribe button.",Verified (page fetched),
Penn Center for Public Health,Medicine,Center,Events and Calendar,https://cph.upenn.edu/events-and-calendar/,WordPress,Server-rendered HTML,unknown,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Pattern-inferred — confirm URL before scraping,OVPR-overseen center
Fels Institute of Government,SAS,Institute,News & Events,https://www.fels.upenn.edu/news-events,Drupal,Server-rendered HTML,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),Past events at /events/past; academic calendar at /programs/academic-calendar
Center for High Impact Philanthropy,SP2,Center,CHIP Events,https://www.impact.upenn.edu/chip-events/,WordPress,Server-rendered HTML,unknown,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Pattern-inferred — confirm URL before scraping,
Center for Social Impact Strategy,SP2,Center,Events,https://csis.upenn.edu/,WordPress,Server-rendered HTML,unknown,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Pattern-inferred — confirm URL before scraping,
SP2 Community events (category view),SP2,School,SP2 Community events,https://sp2.upenn.edu/sp2-events/category/sp2/,WordPress + The Events Calendar,Server-rendered HTML,/sp2-events/?ical=1 ; TEC REST API,"WordPress ""The Events Calendar"": use /wp-json/tribe/events/v1/events (JSON, paginated) — cleanest option. ?ical=1 on any view gives .ics.",Verified (page fetched),Category-filtered view
Institute on Aging,Medicine,Institute,IOA Events,https://www.med.upenn.edu/aging/events.html,Static HTML (PSOM template),Server-rendered HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),Related events at /relatedevents.html
Institute for Biomedical Informatics,Medicine,Institute,Events Calendar (LiveWhale group),https://events.med.upenn.edu/ibi/,LiveWhale Calendar,JS-rendered,LiveWhale ics/RSS,"LiveWhale: the HTML is injected by JS, so scraping the page fails. Use the group feed instead — append ?format=json or ?format=ics to the group URL, or build one from the calendar's Subscribe button.",Verified (page fetched),Main site ibi.med.upenn.edu
Institute for Diabetes Obesity & Metabolism (IDOM),Medicine,Institute,IDOM Seminars and Events,https://www.med.upenn.edu/idom/events.html,Static HTML (PSOM template),Server-rendered HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),
Penn Almanac - AT PENN calendar,University,University-wide,AT PENN Calendar,https://almanac.upenn.edu/at-penn-calendar,Drupal,Server-rendered HTML,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),Monthly consolidated campus listings
Center for Neurodegenerative Disease Research (CNDR),Medicine,Center,News / events,https://www.med.upenn.edu/cndr/,Static HTML (PSOM template),Server-rendered HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),No standalone calendar; events appear via Pathology and PSOM calendars
Chronobiology & Sleep Institute (CSI),Medicine,Institute,CSI Seminars,https://www.med.upenn.edu/chronobiology/seminars.html,Static HTML (PSOM template),Server-rendered HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),
